Incident_number,division,Zone,market_area,location_name,facility_type,description_of_location,Date_of_incident,time_of_incident,involved_employee_id,INVOLVED_EMPLOYEE_TITLE,INCIDENT_TYPE,WAS_A_MOTOR_VEHICLE_INVOLVED,DATE_REPORTED,HOW_DID_THE_INJURY_OCCUR,WHAT_WAS_THE_INJURY_OR_ILLNESS,DESCRIPTION_OF_INCIDENT,ROOT_CAUSE,INITIAL_ROOT_CAUSE,WHY_DID_THIS_OCCUR__WHY,WHY_DID_THIS_OCCUR__WHY1
CY25-00271,WESTERN DIVISION,SOUTHWEST ZONE,PHOENIX AP,PHOENIX SKY HARBOR (01950-17),AIRPORT,Employee entrance,3/11/2025,9:14 PM,901462,Mgr Customer Ops,Customer Incident,No,3/13/2024,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Employee entrance.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00790,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Parking garage,7/17/2025,1:49 PM,814105,Lot Attendant,Employee Incident,No,7/19/2024,Tripped over equipment,Other of Multiple Body Parts,Tripping hazard from unsecured equipment in Parking garage caused fall.,Customer/3rd Party/Vendor related incident,Contractor working on-site did not follow Hertz safety protocols.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00775,EASTERN DIVISION,NORTHEAST ZONE,DETROIT AP,DETROIT METRO WAYNE (01650-11),MAINTENANCE,Maintenance bay,7/14/2025,1:14 PM,313631,Mechanic B,Third Party or Contractor Incident,No,7/14/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,Employee sustained back strain while lifting equipment in Maintenance bay.,Training Deficiency,Training records incomplete — refresher overdue.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00471,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Counter area,4/30/2025,8:14 AM,218205,Service Agent,Vehicle Incident (Motor Vehicle Accident),Yes,5/2/2024,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Wet step caused employee to slip and fall in Counter area.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00141,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Fuel island,2/7/2025,10:56 AM,639685,Service Agent,Property Damage,No,2/10/2024,Chemical splash during cleaning,No Physical Injury,Cleaning chemical splashed employee's face/hands during routine cleaning in Fuel island.,Unpredictable event (motor vehicle accident another driver at fault),Other vehicle failed to yield right of way.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01525,EASTERN DIVISION,SOUTHEAST ZONE,ATLANTA AP,ATLANTA AP (01450-11),AIRPORT,Return area,1/18/2026,8:00 AM,294106,Shuttle Driver,Property Damage,No,1/18/2025,Caught between equipment,Laceration of Finger,Employee's hand caught between two pieces of equipment in Return area.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why was caught between equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01843,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Service lot,3/30/2026,7:42 PM,497832,Transporter - Rideshare,Employee Incident,No,3/30/2025,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Increased rental volume during peak season resulted in congested Service lot and reduced sightlines.,Failure to Identify Hazards,Surge staffing onboarded without completing location-specific safety orientation.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00929,EASTERN DIVISION,NORTHEAST ZONE,DETROIT AP,DETROIT METRO WAYNE (01650-11),MAINTENANCE,Customer pickup zone,8/24/2025,7:28 AM,298548,VSA,Employee Incident,No,8/24/2024,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Customer pickup zone.,Customer/3rd Party/Vendor related incident,Vendor equipment left unsecured in shared workspace.,"Why was caught between equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00702,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Shuttle staging area,6/25/2025,7:56 AM,891797,Customer Experience Associate,Employee Incident,No,6/26/2024,Tripped over equipment,Other of Multiple Body Parts,Employee tripped over equipment left in walkway in Shuttle staging area.,Poor Ergonomics,Tools not appropriate size/weight for frequent repetitive use.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00344,CANADA,CA ALBERTA ZONE,EDMONTON,EDMONTON INTL AIRPORT (08120-11),AIRPORT,Return area,3/29/2025,6:35 PM,972475,Fleet Coordinator,Third Party or Contractor Incident,No,3/29/2024,Tripped over equipment,Other of Multiple Body Parts,Tripping hazard from unsecured equipment in Return area caused fall.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01363,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Service lot,12/6/2025,10:00 AM,488034,Fleet Coordinator,Employee Incident,No,12/8/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Employee slipped on wet surface in Service lot. Reported immediately and first aid administered on site.,Poor Ergonomics,Workstation layout requires repeated awkward posture.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01761,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Counter area,3/13/2026,6:42 PM,800912,Counter Sales Rep,Property Damage,No,3/14/2025,Struck head on low-hanging object,Burn of Hand,Unmarked low-hanging structure in Counter area caused head contact.,Training Deficiency,Insufficient onboarding for new equipment type.,"Why was struck head on low-hanging object not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00373,WESTERN DIVISION,SOUTH PACIFIC ZONE,LAS VEGAS AP,LAS VEGAS MCCARRAN (02050-11),HCS,Loading dock,4/5/2025,7:07 AM,838281,Customer Experience Associate,Customer Incident,No,4/6/2024,Vehicle collision at intersection,Contusion/Bruise of Hand,Vehicle collision occurred at Loading dock intersection. Employee reported and vehicle assessed for damage.,Failure to Identify Hazards,Design limitations combined with lack of environmental awareness.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01853,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Parking garage,4/1/2026,1:49 PM,143995,Mechanic B,Employee Incident,No,4/1/2025,Chemical splash during cleaning,No Physical Injury,Cleaning product container failure in Parking garage caused unintended chemical contact.,Unpredictable event (personal issue),Employee had undisclosed pre-existing condition that contributed.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00293,EASTERN DIVISION,MID ATLANTIC ZONE,NEW YORK JFK,JFK INTL AP (02100-14),AIRPORT,Return area,3/17/2025,11:28 AM,680870,Lot Attendant,Employee Incident,No,3/19/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee in blind spot of reversing vehicle in Return area.,Poor Ergonomics,Inadequate preventive maintenance created ergonomic hazard.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01231,WESTERN DIVISION,SOUTH PACIFIC ZONE,LAS VEGAS AP,LAS VEGAS MCCARRAN (02050-11),HCS,Fuel island,11/5/2025,7:00 PM,653600,Customer Experience Associate,Property Damage,No,11/5/2024,Slip on fuel spill,Contusion/Bruise of Hand,Employee slipped on fuel overspray in Fuel island during refueling operations.,Unpredictable event (motor vehicle accident another driver at fault),Other vehicle failed to yield right of way.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01913,WESTERN DIVISION,SOUTH PACIFIC ZONE,SILICON VALLEY,UBER SOUTH SAN FRANCISCO (04505-22),TNC,Fuel island,4/15/2026,7:35 AM,132122,Mgr Customer Ops,Third Party or Contractor Incident,No,4/15/2025,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Fuel island.,Training Deficiency,Training records incomplete — refresher overdue.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00450,CANADA,CA ALBERTA ZONE,EDMONTON,EDMONTON INTL AIRPORT (08120-11),AIRPORT,Employee entrance,4/25/2025,7:42 PM,124509,Fleet Coordinator,Property Damage,No,4/26/2024,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Employee entrance.,Unpredictable event (personal issue),Employee reported feeling unwell earlier in shift.,"Why was struck head on low-hanging object not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00350,CANADA,CA ALBERTA ZONE,EDMONTON,EDMONTON INTL AIRPORT (08120-11),AIRPORT,Loading dock,3/30/2025,7:56 PM,705355,Lot Attendant,Vehicle Incident (Motor Vehicle Accident),Yes,4/1/2024,Door closed on hand/finger,Laceration of Finger,Employee's hand/finger caught in vehicle door during Loading dock operations.,Training Deficiency,Lack of defensive driving training for high-risk scenarios.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01303,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Breakroom,11/22/2025,4:14 PM,176377,Safety Supervisor,Vehicle Incident (Motor Vehicle Accident),Yes,11/24/2024,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Breakroom.,Standard Work Procedures Insufficient or Non-existent,No documented SWP for this task found during investigation.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00966,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Maintenance bay,9/1/2025,2:07 PM,803556,Counter Sales Rep,Customer Incident,No,9/2/2024,Caught between equipment,Laceration of Finger,Pinch point injury in Maintenance bay during equipment staging.,Training Deficiency,Training records incomplete — refresher overdue.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01424,EASTERN DIVISION,SOUTHEAST ZONE,ATLANTA AP,ATLANTA AP (01450-11),AIRPORT,Employee entrance,12/22/2025,9:28 AM,196366,Transporter - Rideshare,Third Party or Contractor Incident,No,12/24/2024,Tripped over equipment,Other of Multiple Body Parts,Tripping hazard from unsecured equipment in Employee entrance caused fall.,Process not error-proof,No physical guard or barrier to prevent access to pinch point.,"Why was tripped over equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01784,EASTERN DIVISION,MID ATLANTIC ZONE,NEW YORK JFK,JFK INTL AP (02100-14),AIRPORT,Vehicle wash area,3/18/2026,9:49 AM,450504,Shuttle Driver,Property Damage,No,3/20/2025,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Vehicle wash area.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver distracted at time of collision.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00444,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Vehicle wash area,4/23/2025,8:56 AM,463448,Lot Attendant,Employee Incident,No,4/25/2024,Chemical splash during cleaning,No Physical Injury,Cleaning chemical splashed employee's face/hands during routine cleaning in Vehicle wash area.,Standard Work Procedures Insufficient or Non-existent,SWP not posted at point of use.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00176,WESTERN DIVISION,SOUTH PACIFIC ZONE,SILICON VALLEY,UBER SOUTH SAN FRANCISCO (04505-22),TNC,Parking garage,2/15/2025,5:14 AM,232465,Mechanic B,Customer Incident,No,2/18/2024,Chemical splash during cleaning,No Physical Injury,Cleaning chemical splashed employee's face/hands during routine cleaning in Parking garage.,Unpredictable event (personal issue),Employee reported feeling unwell earlier in shift.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00581,EASTERN DIVISION,NORTHEAST ZONE,BOSTON LOGAN AP,BOSTON LOGAN INTL (01700-11),MAINTENANCE,Return area,5/25/2025,12:35 PM,529925,Instant Return Rep,Employee Incident,No,5/26/2024,Slip on fuel spill,Contusion/Bruise of Hand,Employee slipped on fuel overspray in Return area during refueling operations.,Failure to Identify Hazards,Area not inspected prior to shift start.,"Why was slip on fuel spill not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01414,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Shuttle staging area,12/19/2025,9:14 PM,687192,VSA,Third Party or Contractor Incident,No,12/20/2024,Door closed on hand/finger,Laceration of Finger,Employee's hand/finger caught in vehicle door during Shuttle staging area operations.,Process not error-proof,No two-person requirement enforced for heavy lift tasks.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-01155,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Parking garage,10/16/2025,10:14 AM,822308,Counter Sales Rep,Customer Incident,No,10/18/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Employee slipped on wet surface in Parking garage. Reported immediately and first aid administered on site.,Training Deficiency,Training records incomplete — refresher overdue.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01228,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Loading dock,11/4/2025,4:00 PM,604858,Shuttle Driver,Third Party or Contractor Incident,No,11/5/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,Employee sustained back strain while lifting equipment in Loading dock.,Process not error-proof,Warning signage absent or not visible from task position.,"Why was lifting heavy object caused back strain not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00831,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Return area,7/28/2025,4:00 PM,740070,VSA,Customer Incident,No,7/28/2024,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Return area.,Failure to Identify Hazards,Area not inspected prior to shift start.,"Why was caught between equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01334,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Counter area,11/30/2025,7:00 AM,880002,Safety Supervisor,Third Party or Contractor Incident,No,11/30/2024,Vehicle collision at intersection,Contusion/Bruise of Hand,MVA in Counter area involving Hertz vehicle. Third-party driver cited as at fault.,Training Deficiency,Insufficient onboarding for new equipment type.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00369,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Customer pickup zone,4/4/2025,7:07 PM,948992,Mechanic A,Third Party or Contractor Incident,No,4/5/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Standing water in Customer pickup zone not marked with wet floor signage. Employee slipped while on regular duties.,Process not error-proof,Standard process relies on individual awareness rather than engineered controls.,"Why was employee slipped on wet floor while walking not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00529,EASTERN DIVISION,SOUTHEAST ZONE,ATLANTA AP,ATLANTA AP (01450-11),AIRPORT,Vehicle wash area,5/14/2025,9:28 PM,689063,Lot Attendant,Customer Incident,No,5/15/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Repetitive scanning and data entry in Vehicle wash area caused wrist/shoulder strain.,Failure to Identify Hazards,Design limitations combined with lack of environmental awareness.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00341,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Loading dock,3/28/2025,11:42 AM,461353,Counter Sales Rep,Customer Incident,No,3/30/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,"Employee lifted oversized item without assistance in Loading dock, causing strain injury.",Process not error-proof,Warning signage absent or not visible from task position.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00115,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Customer pickup zone,1/31/2025,9:14 PM,597166,Lot Attendant,Customer Incident,No,2/1/2024,Tripped over equipment,Other of Multiple Body Parts,Tripping hazard from unsecured equipment in Customer pickup zone caused fall.,Training Deficiency,Training records incomplete — refresher overdue.,"Why was tripped over equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00301,CANADA,CA ALBERTA ZONE,EDMONTON,EDMONTON INTL AIRPORT (08120-11),AIRPORT,Fuel island,3/19/2025,3:00 PM,261196,Fleet Coordinator,Customer Incident,No,3/19/2024,Caught between equipment,Laceration of Finger,Employee's hand caught between two pieces of equipment in Fuel island.,Poor Ergonomics,Workstation layout requires repeated awkward posture.,"Why was caught between equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01511,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Customer pickup zone,1/14/2026,7:28 PM,323698,Fleet Coordinator,Property Damage,No,1/15/2025,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Employee reported onset of repetitive strain after extended shift in Customer pickup zone.,Unpredictable event (motor vehicle accident another driver at fault),Other vehicle failed to yield right of way.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00081,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Employee entrance,1/22/2025,9:00 PM,525335,Counter Sales Rep,Third Party or Contractor Incident,No,1/25/2024,Tripped over equipment,Other of Multiple Body Parts,Employee stumbled over hose/equipment in Employee entrance during regular duties.,Poor Ergonomics,Tools not appropriate size/weight for frequent repetitive use.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01498,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Counter area,1/10/2026,12:28 PM,414127,Mgr Customer Ops,Third Party or Contractor Incident,No,1/11/2025,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Standing water in Counter area not marked with wet floor signage. Employee slipped while on regular duties.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01848,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Counter area,3/31/2026,12:42 PM,936547,Mgr Customer Ops,Vehicle Incident (Motor Vehicle Accident),Yes,4/2/2025,Caught between equipment,Laceration of Finger,Shift overlap in Counter area during high-volume period created congestion and reduced situational awareness.,Process not error-proof,New temporary employees unfamiliar with vehicle traffic patterns in service area.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01496,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Vehicle wash area,1/9/2026,7:49 PM,390141,Safety Supervisor,Customer Incident,No,1/11/2025,Struck head on low-hanging object,Burn of Hand,Employee struck head on low clearance fixture in Vehicle wash area.,Failure to Identify Hazards,Hazard present for extended period without being flagged.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01214,WESTERN DIVISION,SOUTHWEST ZONE,PHOENIX AP,PHOENIX SKY HARBOR (01950-17),AIRPORT,Return area,10/31/2025,5:14 PM,315996,VSA,Third Party or Contractor Incident,No,11/2/2024,Hit by moving vehicle,Slip or Trip but did not fall,Near-miss escalated when vehicle contacted employee in Return area.,Unpredictable event (personal issue),Medical event occurred without prior warning.,"Why was hit by moving vehicle not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01175,EASTERN DIVISION,NORTHEAST ZONE,DETROIT AP,DETROIT METRO WAYNE (01650-11),MAINTENANCE,Parking garage,10/21/2025,8:28 PM,866110,Transporter - Rideshare,Employee Incident,No,10/23/2024,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Employee lost footing on vehicle entry step in Parking garage.,Unpredictable event (personal issue),Medical event occurred without prior warning.,"Why was fall from vehicle step not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00262,EASTERN DIVISION,SOUTHEAST ZONE,ATLANTA AP,ATLANTA AP (01450-11),AIRPORT,Vehicle wash area,3/9/2025,9:42 PM,199357,Service Agent,Property Damage,No,3/9/2024,Vehicle collision at intersection,Contusion/Bruise of Hand,Vehicle collision occurred at Vehicle wash area intersection. Employee reported and vehicle assessed for damage.,Training Deficiency,Employee had not completed updated safety training module.,"Why was vehicle collision at intersection not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00089,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Counter area,1/25/2025,10:14 AM,764635,Service Agent,Employee Incident,No,1/28/2024,Door closed on hand/finger,Laceration of Finger,Vehicle door closed unexpectedly on employee's finger in Counter area.,Standard Work Procedures Insufficient or Non-existent,Employee unaware a procedure existed for this task.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01951,WESTERN DIVISION,SOUTHWEST ZONE,HOUSTON AP,GEORGE BUSH INTCNTL (01700-18),AIRPORT,Maintenance bay,4/23/2026,5:07 AM,799254,Customer Experience Associate,Property Damage,No,4/23/2025,Hit by moving vehicle,Slip or Trip but did not fall,Employee struck by slow-moving vehicle in Maintenance bay.,Unpredictable event (personal issue),Medical event occurred without prior warning.,"Why was hit by moving vehicle not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
